<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<VAL>,<COUNT>,<PREVIOUS>,<COL1>,<COL2>,<TSEClose>,<MarketValue>,<ShareCount>
ZAGROS,d,20120314,000000,12750,13205,12600,13188,1820769,23320782873,106,12577,زاگرس,13901224,000000,12808,31651200000000,2400000000
ZAGROS,d,20120317,000000,13199,13300,12852,13099,192219,2512542652,33,12808,زاگرس,13901227,000000,13071,31437600000000,2400000000
ZAGROS,d,20120318,000000,12917,13000,12917,13000,1647925,21420380466,54,13071,زاگرس,13901228,000000,12998,31200000000000,2400000000
ZAGROS,d,20120324,000000,13300,13647,13000,13120,578668,7639018780,84,12998,زاگرس,13910105,000000,13201,31488000000000,2400000000
ZAGROS,d,20120325,000000,13350,13820,13000,13399,3438379,45388884975,98,13201,زاگرس,13910106,000000,13201,32157600000000,2400000000
ZAGROS,d,20120326,000000,13350,13350,13001,13200,56345,734704740,21,13201,زاگرس,13910107,000000,13039,31680000000000,2400000000
ZAGROS,d,20120327,000000,13400,13690,13259,13600,482540,6504204784,80,13039,زاگرس,13910108,000000,13479,32640000000000,2400000000
ZAGROS,d,20120328,000000,13609,14152,13609,14152,3784164,53541642889,357,13479,زاگرس,13910109,000000,14149,33964800000000,2400000000
ZAGROS,d,20120402,000000,14690,14798,14149,14149,3820429,54664530896,417,14149,زاگرس,13910114,000000,14308,33957600000000,2400000000
ZAGROS,d,20120403,000000,14360,14500,14200,14330,663914,9482127904,123,14308,زاگرس,13910115,000000,14282,34392000000000,2400000000
ZAGROS,d,20120404,000000,14440,14996,14440,14996,2941848,44033436579,226,14282,زاگرس,13910116,000000,14968,35990400000000,2400000000
ZAGROS,d,20120407,000000,15716,15716,15716,15716,675053,10609132948,64,14968,زاگرس,13910119,000000,15716,37718400000000,2400000000
ZAGROS,d,20120408,000000,16501,16501,15831,15912,6603889,108474310724,841,15716,زاگرس,13910120,000000,16426,38188800000000,2400000000
ZAGROS,d,20120409,000000,16170,16778,16001,16710,2061015,34104705447,509,16426,زاگرس,13910121,000000,16548,40104000000000,2400000000
ZAGROS,d,20120429,000000,14500,14500,13490,13840,368561,5095149069,102,14048,زاگرس,13910210,000000,13962,33216000000000,2400000000
ZAGROS,d,20120430,000000,14199,14199,13600,13880,414536,5696971422,122,13962,زاگرس,13910211,000000,13867,33312000000000,2400000000
ZAGROS,d,20120501,000000,13700,13700,13202,13479,409548,5511918962,86,13867,زاگرس,13910212,000000,13693,32349600000000,2400000000
ZAGROS,d,20120502,000000,13310,13310,13062,13063,349710,4609126305,114,13693,زاگرس,13910213,000000,13180,31351200000000,2400000000
ZAGROS,d,20120505,000000,13069,13069,12540,12587,863578,10937939865,178,13180,زاگرس,13910216,000000,12666,30208800000000,2400000000
